Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,PAN_1_S7,PAN_2_S8,PAN_3_S9,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000171223.6,JUNB,543.4491921,415.6706342,3.21E-05,0.000454612,154.9130593,173.5633721,103.3616832,743.8739847,673.2910827,645.0206233,687.3952302,143.9460382,4.775367485,2.255611759
ENSG00000108106.14,UBE2S,541.4963603,466.1052314,4.34E-05,0.000536916,190.8616448,217.1699826,178.0395264,796.2003037,669.7832487,744.5766823,736.8534115,195.3570513,3.771829104,1.915264311
ENSG00000143878.10,RHOB,529.719396,437.3257166,3.71E-07,4.63E-05,175.3230624,162.2728258,179.8021675,726.3485861,692.4784693,687.7291883,702.1854146,172.4660186,4.071442133,2.025539898
ENSG00000173812.11,EIF1,509.7949349,1633.527099,4.55E-06,0.00015607,1408.554558,1363.990692,1363.343645,1856.664109,1909.774369,1898.835222,1888.424566,1378.629631,1.369783822,0.453948227
ENSG00000117318.9,ID3,503.343701,384.2771202,4.52E-06,0.00015607,137.6190451,123.0307887,137.1659755,678.3392696,615.9665766,613.541066,635.9489707,132.6052698,4.795804661,2.261772897
ENSG00000168209.6,DDIT4,452.129816,365.3169884,5.51E-06,0.00017172,160.4568097,130.781413,126.5180187,602.4818714,614.3513813,557.3124366,591.3818964,139.2520805,4.246844244,2.086391198
ENSG00000117399.14,CDC20,448.9386234,738.4890567,3.68E-06,0.000140805,508.733799,520.3632314,512.9622046,997.0399591,957.076904,934.7582421,962.9583684,514.019745,1.873387896,0.905649649
ENSG00000120885.22,CLU,425.7125455,243.6028682,3.51E-08,1.62E-05,31.40142344,31.4625487,29.37581414,468.7228242,447.6079208,453.0466777,456.4591409,30.74659543,14.8458434,3.891987151
ENSG00000158615.9,PPP1R15B,423.8512215,635.3802382,4.20E-07,4.89E-05,416.7727637,414.5459223,439.0451963,837.9105123,841.7099788,862.2970556,847.3058489,423.4546274,2.000936568,1.000675433
ENSG00000159388.6,BTG2,407.9114205,421.3234537,9.09E-07,7.08E-05,211.8108009,219.6020931,220.6903364,647.300151,605.6374753,622.8998657,625.279164,217.3677435,2.87659592,1.524362578
