Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI_Plus_PAN_1_S10,JOI_Plus_PAN_2_S11,JOI_Plus_PAN_3_S12,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000154277.13,UCHL1,1655.096996,1133.583051,6.84E-09,3.37E-06,291.5543036,315.4135361,311.1358195,1949.154251,1942.352529,1991.887868,1961.131549,306.0345531,6.408203026,2.679919856
ENSG00000159388.6,BTG2,1585.784837,1010.260162,5.65E-08,7.77E-06,211.8108009,219.6020931,220.6903364,1768.911427,1786.591568,1853.954745,1803.15258,217.3677435,8.295400924,3.05231171
ENSG00000168209.6,DDIT4,1459.632426,869.0682934,9.76E-08,1.00E-05,160.4568097,130.781413,126.5180187,1602.458891,1554.186737,1640.00789,1598.884506,139.2520805,11.4819434,3.521294944
ENSG00000186834.4,HEXIM1,1435.73602,930.8335133,1.89E-09,1.88E-06,218.5953916,213.4453678,206.8557508,1627.463131,1656.824897,1661.816542,1648.701523,212.9655034,7.741636543,2.952638577
ENSG00000135821.19,GLUL,1416.894759,1087.502273,2.58E-07,1.60E-05,373.8976256,371.447021,391.8200354,1818.075478,1733.230468,1836.543012,1795.949653,379.054894,4.737967194,2.244268209
ENSG00000156976.17,EIF4A2,1379.211959,1581.245395,1.79E-06,4.57E-05,879.7868462,863.8592037,931.272197,2229.060807,2225.096991,2358.396326,2270.851375,891.6394156,2.546827041,1.348700987
ENSG00000067225.19,PKM,1345.000131,2194.306592,3.08E-08,6.21E-06,1522.802962,1551.962777,1490.653839,2863.608877,2855.131355,2881.67974,2866.806657,1521.806526,1.883818086,0.913659656
ENSG00000165272.16,AQP3,1344.903465,709.7471631,9.26E-09,3.77E-06,45.33919904,39.27787557,27.26921776,1404.201255,1356.443112,1385.95232,1382.198895,37.29543079,37.06081056,5.21182253
ENSG00000173812.11,EIF1,1343.978194,2050.618728,4.83E-08,7.20E-06,1408.554558,1363.990692,1363.343645,2728.113455,2693.917549,2745.792471,2722.607825,1378.629631,1.974865303,0.981754257
ENSG00000170540.15,ARL6IP1,1323.470131,1186.829241,8.42E-08,9.33E-06,501.2627501,501.7458489,572.2739279,1853.254122,1844.219548,1848.219249,1848.564307,525.0941756,3.520443365,1.815757133
ENSG00000196924.19,FLNA,1297.255756,971.8064656,1.31E-09,1.79E-06,332.974231,331.6175069,304.9440249,1624.678694,1618.86169,1617.762647,1620.434344,323.1785876,5.01405231,2.325977047
ENSG00000132475.10,H3-3B,1170.984161,1514.759955,9.04E-07,3.17E-05,915.2671078,914.9229869,957.6135282,2041.614123,2153.124122,2106.01786,2100.252035,929.2678743,2.260114756,1.176396026
ENSG00000005022.6,SLC25A5,1167.289162,1980.575443,1.14E-05,0.000137048,1386.312686,1372.405641,1432.074259,2495.201576,2516.534941,2680.923557,2564.220024,1396.930862,1.835609832,0.876259439
ENSG00000171223.6,JUNB,1157.617905,722.7549906,5.82E-06,8.97E-05,154.9130593,173.5633721,103.3616832,1390.703272,1288.368101,1225.620457,1301.563943,143.9460382,9.042026857,3.176646203
ENSG00000120738.8,EGR1,1112.637569,579.4762273,1.10E-06,3.60E-05,20.98444323,23.17344065,25.31444397,1202.091115,1122.188174,1083.105748,1135.795012,23.15744262,49.04665125,5.616082732
ENSG00000187514.17,PTMA,1098.614423,2463.916967,1.33E-05,0.000151504,1989.968798,1920.143825,1833.716644,3086.171876,2952.254654,3001.246006,3013.224179,1914.609756,1.573805926,0.654257645
ENSG00000130066.16,SAT1,1050.545519,534.4305478,6.45E-09,3.33E-06,7.269513576,12.09321252,8.110638204,1059.673755,1041.277446,1078.158721,1059.703307,9.1577881,115.7160764,6.854445501
ENSG00000170345.10,FOS,952.5032497,477.622462,8.84E-09,3.74E-06,0.501549632,1.626989913,1.983971892,933.3685656,967.4432415,960.8104533,953.8740868,1.370837146,695.8332649,9.44259784
ENSG00000064601.20,CTSA,944.3278909,568.9080454,5.39E-08,7.76E-06,97.18253537,97.85179515,95.19796934,1069.128753,1016.28986,1037.79736,1041.071991,96.74409996,10.76109025,3.427752346
ENSG00000133112.17,TPT1,906.2236002,2669.542013,0.000284266,0.001269632,2138.76386,2117.224212,2393.302566,3162.649681,3041.322973,3163.988784,3122.653813,2216.430212,1.408866291,0.494534699
