Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI1_S4,JOI2_S5,JOI3_S6,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000105825.14,TFPI2,652.427904,1305.942219,4.46E-05,0.000988097,965.7638645,924.0060754,1049.41486,1585.522767,1677.226955,1633.71879,1632.156171,979.7282666,1.665927407,0.736325536
ENSG00000133112.17,TPT1,606.2158223,2519.538124,0.001339536,0.008270827,2138.76386,2117.224212,2393.302566,2830.599121,2776.881375,2860.457607,2822.646035,2216.430212,1.273509998,0.348810286
ENSG00000184678.10,H2BC21,591.280467,370.84174,1.90E-06,0.000206723,65.38433261,88.37580808,71.84437869,693.4580235,629.2961973,676.6916997,666.4819735,75.20150646,8.862614659,3.147732387
ENSG00000142937.12,RPS8,571.7922127,4065.810214,6.50E-05,0.0012467,3775.110358,3733.559193,3831.072774,4402.670318,4290.42074,4362.027905,4351.706321,3779.914108,1.151271218,0.203227746
ENSG00000178035.13,IMPDH2,558.1458919,1381.433512,1.80E-06,0.000204185,1107.737907,1078.494551,1120.849239,1684.803426,1635.200939,1661.515008,1660.506458,1102.360566,1.506318812,0.591027148
ENSG00000005022.6,SLC25A5,528.4180174,1661.139871,1.93E-06,0.000207197,1386.312686,1372.405641,1432.074259,1919.586357,1930.119182,1926.341099,1925.348879,1396.930862,1.378270702,0.462859271
ENSG00000125968.9,ID1,520.5099222,1040.290104,5.67E-05,0.001143827,783.9428202,723.3771334,832.7854765,1312.734694,1330.063352,1258.837151,1300.545066,780.0351434,1.667290348,0.737505362
ENSG00000115758.13,ODC1,497.4278151,889.5963132,3.24E-06,0.000256459,607.5271893,652.5066401,662.6133876,1120.071347,1150.501359,1144.357956,1138.310221,640.8824057,1.776160822,0.828762216
ENSG00000180660.8,MAB21L1,459.1777103,844.2613681,2.70E-06,0.000233011,590.4515086,633.3679365,620.1980938,1058.289279,1096.245582,1067.015808,1073.850223,614.672513,1.747028215,0.804902909
ENSG00000186834.4,HEXIM1,450.4310683,438.1810375,6.42E-07,0.000140313,218.5953916,213.4453678,206.8557508,678.6107473,671.2711976,640.30777,663.3965716,212.9655034,3.115042395,1.639251798
ENSG00000184009.13,ACTG1,437.6062118,2176.887916,1.98E-05,0.000636721,1957.406453,1982.492563,1934.355415,2437.657688,2380.754877,2368.660501,2395.691022,1958.08481,1.223486853,0.290998599
ENSG00000255302.5,EID1,386.5429459,1267.985893,0.000748767,0.005631577,1037.223078,1020.174516,1166.745666,1428.749628,1452.462484,1502.559986,1461.257366,1074.71442,1.359670382,0.443256948
ENSG00000155368.16,DBI,377.4850226,568.4897111,9.70E-07,0.000167044,392.4252376,373.9105525,372.9058091,766.5596406,738.724375,766.4126515,757.2322224,379.7471997,1.994042939,0.995696477
ENSG00000273802.2,H2BC8,352.4693156,217.3997119,1.06E-05,0.000477951,51.21102925,38.52169078,33.76244214,407.8735573,359.7308397,413.2987119,393.6343697,41.16505406,9.562343077,3.257364168
ENSG00000167434.10,CA4,351.7201084,374.2122177,3.69E-07,0.00010156,196.4619303,202.831875,195.7626851,560.8268364,534.1106239,555.2793554,550.0722719,198.3521634,2.773210346,1.471557048
ENSG00000165588.18,OTX2,348.8814561,1105.627933,7.96E-06,0.000412136,915.5814075,917.6522557,960.3279516,1278.424981,1267.47837,1294.302632,1280.068661,931.1872049,1.374663069,0.459078056
ENSG00000111669.15,TPI1,340.2239694,3189.320584,6.19E-06,0.000366206,3010.680655,3017.29315,3029.651992,3387.487028,3341.618746,3349.191931,3359.432568,3019.208599,1.112686473,0.154047135
ENSG00000125691.14,RPL23,337.7770673,2097.931188,3.90E-05,0.000921189,1892.002344,1925.127205,1969.998414,2269.527046,2270.216974,2260.715144,2266.819722,1929.042654,1.17510088,0.232784615
ENSG00000181163.14,NPM1,331.977252,1179.138931,0.000281403,0.002927699,993.6154165,972.4082893,1073.427209,1332.512246,1324.498852,1378.371572,1345.127557,1013.150305,1.327668314,0.408894769
ENSG00000080824.19,HSP90AA1,297.1151223,865.2294861,0.000203124,0.002401198,697.5298658,679.7946776,772.6912315,1006.056093,1009.603344,1025.701705,1013.787047,716.671925,1.414576199,0.500369892
ENSG00000169738.8,DCXR,276.2753272,398.5191756,3.58E-06,0.000266547,270.6965077,253.2485018,257.1995263,545.7890186,546.7249163,517.4565827,536.6568392,260.3815119,2.061040491,1.043372848
ENSG00000128272.16,ATF4,265.8294452,1429.009021,6.45E-05,0.001243488,1288.402811,1318.406156,1281.473929,1577.752583,1579.273589,1528.745059,1561.923744,1296.094298,1.205100389,0.269153333
ENSG00000175130.7,MARCKSL1,264.2751804,995.0772033,0.000774846,0.005756152,864.9406643,910.5946657,813.2835092,1151.256026,1145.562559,1084.825796,1127.214794,862.9396131,1.306249912,0.38543094
ENSG00000135821.19,GLUL,258.6978582,508.4038231,1.73E-06,0.000200817,373.8976256,371.447021,391.8200354,630.6224808,649.5056965,633.1300793,637.7527522,379.054894,1.682481251,0.750590428
ENSG00000104904.12,OAZ1,258.3708157,871.0946167,2.81E-05,0.000762789,737.2345049,739.2099149,749.2832068,1011.563348,1020.152019,969.1247075,1000.280025,741.9092089,1.348251259,0.431089381
ENSG00000174748.22,RPL15,254.4607859,1533.974511,1.15E-06,0.000176075,1407.643115,1400.869877,1411.719362,1662.518323,1672.948777,1648.147611,1661.204904,1406.744118,1.180886334,0.239870105
ENSG00000117450.15,PRDX1,248.1602467,541.0237768,4.89E-06,0.000328581,409.1385725,406.248935,435.4434528,662.9462932,657.6989478,674.6664593,665.1039001,416.9436534,1.595188929,0.673727303
ENSG00000130726.12,TRIM28,246.012125,1070.854133,0.000566946,0.004681586,973.2710326,963.6659546,906.6072248,1236.358696,1160.836741,1184.38515,1193.860196,947.8480707,1.259548057,0.332906168
ENSG00000167552.15,TUBA1A,244.3583285,389.6125019,0.000102463,0.0015916,239.3607104,283.1924946,279.746808,489.4223298,540.0503793,505.9022894,511.7916661,267.4333377,1.913716781,0.936377335
ENSG00000132763.15,MMACHC,209.4655661,478.1803686,1.77E-05,0.000605038,367.7143157,357.1033315,395.5251096,577.1523834,587.6255118,583.9615598,582.9131517,373.4475856,1.560896828,0.642375181
ENSG00000162992.4,NEUROD1,202.2479276,1200.16323,0.000998282,0.006767732,1070.450791,1072.08712,1154.579889,1288.019705,1311.285278,1304.5566,1301.287194,1099.039267,1.184022476,0.243696468
ENSG00000175906.5,ARL4D,202.1593433,366.4343357,6.82E-05,0.001274829,296.1738261,247.9396097,251.9505564,466.5250532,469.0641486,466.9528202,467.5140074,265.3546641,1.761845826,0.817087684
ENSG00000170540.15,ARL6IP1,195.9154999,623.0519256,0.00074292,0.005603526,501.2627501,501.7458489,572.2739279,707.6696156,713.3642895,741.9951216,721.0096756,525.0941756,1.373105452,0.457442426
ENSG00000113328.19,CCNG1,191.2439405,509.5356396,0.000983043,0.006703052,395.3573226,382.5369282,463.8467572,598.7997391,592.8385757,623.8345148,605.1576099,413.9136693,1.462038233,0.547981039
ENSG00000147403.18,RPL10,171.3209994,917.5333934,3.64E-05,0.000898455,840.2004386,839.0294007,816.3888419,1019.88958,995.1671554,994.5249439,1003.193893,831.8728937,1.205946126,0.270165458
ENSG00000070756.17,PABPC1,170.7749613,573.8538463,1.89E-06,0.000206723,482.8251712,484.2957971,498.2781286,655.5085062,656.5728889,665.6425856,659.2413269,488.4663656,1.349614576,0.43254746
ENSG00000100823.12,APEX1,170.4105381,1333.660158,0.000287825,0.002976962,1223.619876,1265.895192,1255.849597,1441.897223,1417.080492,1397.618565,1418.865427,1248.454889,1.136497153,0.18459407
ENSG00000108654.16,DDX5,168.9184341,1115.476328,0.00105639,0.007020723,1022.674122,994.0555032,1076.321707,1204.620096,1197.4376,1197.748938,1199.935545,1031.017111,1.163836693,0.218888637
ENSG00000099622.14,CIRBP,153.9195748,214.1279081,9.46E-07,0.000165593,141.497388,132.9833544,137.0236198,292.5244317,296.8816808,283.856974,291.0876955,137.1681208,2.122123522,1.085508633
ENSG00000115541.11,HSPE1,149.4059874,407.1144491,0.000694168,0.005346284,316.2740159,365.9793383,314.9810119,469.6312975,474.7029443,501.1180865,481.8174428,332.4114554,1.449461007,0.535516523
ENSG00000173726.11,TOMM20,145.6757078,710.0828521,0.001627961,0.009413717,620.1496435,609.00927,682.5760813,777.1600683,789.0790293,782.5230205,782.920706,637.2449983,1.228602356,0.297018055
ENSG00000116717.13,GADD45A,141.1588457,162.5017893,4.36E-06,0.000310962,90.45657259,85.43773611,99.87279055,225.0622579,236.1843726,237.9970059,233.0812121,91.92236642,2.535631112,1.342344875
ENSG00000167996.16,FTH1,140.0382078,445.1993536,3.68E-05,0.000898924,357.4315594,382.9951107,385.1140791,510.0114624,515.9033813,519.740529,515.2184576,375.1802497,1.373255809,0.457600395
ENSG00000278828.1,H3C10,139.743395,104.2040355,0.000219962,0.002518682,35.89505976,34.33514284,32.76681145,179.0730334,195.2812212,147.8729444,174.075733,34.33233801,5.070313968,2.342075086
ENSG00000133639.6,BTG1,139.2773604,212.9548983,1.90E-06,0.000206723,140.4492073,138.273692,151.2257548,284.3645335,277.3698453,286.0463566,282.5935784,143.3162181,1.971818558,0.979526805
ENSG00000174444.15,RPL4,138.5024444,1276.826251,0.000437963,0.003950807,1194.567699,1189.399693,1238.757694,1352.431833,1347.270795,1338.529791,1346.077473,1207.575029,1.114694691,0.156648617
ENSG00000198668.13,CALM1,133.3667602,214.470282,5.52E-06,0.000350167,149.3415497,140.9260584,153.0930975,273.2922293,281.0002807,289.1684763,281.1536621,147.7869019,1.902426118,0.927840427
